RFID,Antenna,DateTime,Feeder,TestRFID_DateTime,Time_diff,Corrected_DateTime,Note
011016C023,2, 12/07/2021 10:00:02,Feeder05,,, 12/07/2021 10:00:02,
011016DE2E,2, 12/07/2021 10:02:57,Feeder05,,, 12/07/2021 10:02:57,
01103F651E,2, 12/07/2021 10:03:28,Feeder05,,, 12/07/2021 10:03:28,
01103F651E,1, 12/07/2021 10:03:29,Feeder05,,, 12/07/2021 10:03:29,
01103F651E,2, 12/07/2021 10:06:46,Feeder05,,, 12/07/2021 10:06:46,
01103F651E,1, 12/07/2021 10:11:59,Feeder05,,, 12/07/2021 10:11:59,
011016C023,1, 12/07/2021 10:12:03,Feeder05,,, 12/07/2021 10:12:03,
01103F651E,2, 12/07/2021 10:18:58,Feeder05,,, 12/07/2021 10:18:58,
01103F651E,1, 12/07/2021 10:18:59,Feeder05,,, 12/07/2021 10:18:59,
01103F651E,2, 12/07/2021 10:18:59,Feeder05,,, 12/07/2021 10:18:59,
011016C023,2, 12/07/2021 10:22:42,Feeder05,,, 12/07/2021 10:22:42,
01103F651E,1, 12/07/2021 10:24:06,Feeder05,,, 12/07/2021 10:24:06,
01103F651E,2, 12/07/2021 10:24:57,Feeder05,,, 12/07/2021 10:24:57,
01103F651E,1, 12/07/2021 10:24:58,Feeder05,,, 12/07/2021 10:24:58,
01103F651E,2, 12/07/2021 10:24:58,Feeder05,,, 12/07/2021 10:24:58,
01103F651E,1, 12/07/2021 10:24:58,Feeder05,,, 12/07/2021 10:24:58,
01103F651E,1, 12/07/2021 10:25:36,Feeder05,,, 12/07/2021 10:25:36,
011016C023,2, 12/07/2021 10:26:50,Feeder05,,, 12/07/2021 10:26:50,
011016C023,2, 12/07/2021 11:34:00,Feeder05,,, 12/07/2021 11:34:00,
011016C023,2, 12/07/2021 11:34:24,Feeder05,,, 12/07/2021 11:34:24,
01103F651E,2, 12/07/2021 11:34:44,Feeder05,,, 12/07/2021 11:34:44,
01103F651E,1, 12/07/2021 11:35:08,Feeder05,,, 12/07/2021 11:35:08,
01103F651E,2, 12/07/2021 11:35:08,Feeder05,,, 12/07/2021 11:35:08,
01103F651E,2, 12/07/2021 11:35:37,Feeder05,,, 12/07/2021 11:35:37,
01103F651E,1, 12/07/2021 11:35:37,Feeder05,,, 12/07/2021 11:35:37,
011016DE2E,2, 12/07/2021 11:35:42,Feeder05,,, 12/07/2021 11:35:42,
011016D1F5,1, 12/07/2021 11:37:21,Feeder05,,, 12/07/2021 11:37:21,
011016D1F5,1, 12/07/2021 11:37:44,Feeder05,,, 12/07/2021 11:37:44,
011016D1F5,2, 12/07/2021 11:37:44,Feeder05,,, 12/07/2021 11:37:44,
011016C023,2, 12/07/2021 11:38:50,Feeder05,,, 12/07/2021 11:38:50,
011016D1F5,1, 12/07/2021 11:39:52,Feeder05,,, 12/07/2021 11:39:52,
011016D1F5,2, 12/07/2021 11:43:15,Feeder05,,, 12/07/2021 11:43:15,
011016D1F5,1, 12/07/2021 11:43:15,Feeder05,,, 12/07/2021 11:43:15,
011016D1F5,2, 12/07/2021 11:43:17,Feeder05,,, 12/07/2021 11:43:17,
011016D1F5,1, 12/07/2021 11:43:18,Feeder05,,, 12/07/2021 11:43:18,
011016D1F5,2, 12/07/2021 11:43:18,Feeder05,,, 12/07/2021 11:43:18,
011016D1F5,2, 12/07/2021 11:43:58,Feeder05,,, 12/07/2021 11:43:58,
01103F651E,1, 12/07/2021 11:45:09,Feeder05,,, 12/07/2021 11:45:09,
01103F651E,2, 12/07/2021 11:45:10,Feeder05,,, 12/07/2021 11:45:10,
01103F651E,2, 12/07/2021 11:45:57,Feeder05,,, 12/07/2021 11:45:57,
011016D1F5,1, 12/07/2021 11:46:46,Feeder05,,, 12/07/2021 11:46:46,
011016D1F5,2, 12/07/2021 11:46:46,Feeder05,,, 12/07/2021 11:46:46,
011016D1F5,2, 12/07/2021 11:46:48,Feeder05,,, 12/07/2021 11:46:48,
011016D1F5,2, 12/07/2021 11:47:12,Feeder05,,, 12/07/2021 11:47:12,
011016D1F5,2, 12/07/2021 11:48:37,Feeder05,,, 12/07/2021 11:48:37,
011016D1F5,2, 12/07/2021 11:48:39,Feeder05,,, 12/07/2021 11:48:39,
011016D1F5,1, 12/07/2021 11:48:39,Feeder05,,, 12/07/2021 11:48:39,
011016D1F5,2, 12/07/2021 11:48:39,Feeder05,,, 12/07/2021 11:48:39,
011016D1F5,1, 12/07/2021 11:48:40,Feeder05,,, 12/07/2021 11:48:40,
011016D1F5,2, 12/07/2021 11:48:41,Feeder05,,, 12/07/2021 11:48:41,
011016D1F5,1, 12/07/2021 11:48:41,Feeder05,,, 12/07/2021 11:48:41,
011016D1F5,2, 12/07/2021 11:48:42,Feeder05,,, 12/07/2021 11:48:42,
011016D1F5,2, 12/07/2021 11:50:25,Feeder05,,, 12/07/2021 11:50:25,
011016D1F5,1, 12/07/2021 11:55:04,Feeder05,,, 12/07/2021 11:55:04,
011016D1F5,2, 12/07/2021 11:55:05,Feeder05,,, 12/07/2021 11:55:05,
011016D1F5,1, 12/07/2021 11:55:05,Feeder05,,, 12/07/2021 11:55:05,
