RFID,Antenna,DateTime,Feeder,TestRFID_DateTime,Time_diff,Corrected_DateTime,Note
01103FD963,1, 12/08/2021 11:37:47,Feeder10,,, 12/08/2021 11:37:47,
01103FD963,1, 12/08/2021 11:37:49,Feeder10,,, 12/08/2021 11:37:49,
011016AE6C,1, 12/08/2021 11:44:43,Feeder10,,, 12/08/2021 11:44:43,
011016AE6C,1, 12/08/2021 11:56:02,Feeder10,,, 12/08/2021 11:56:02,
011016AE6C,1, 12/08/2021 11:56:04,Feeder10,,, 12/08/2021 11:56:04,
011016AE6C,1, 12/08/2021 11:56:06,Feeder10,,, 12/08/2021 11:56:06,
011016AE6C,1, 12/08/2021 12:01:19,Feeder10,,, 12/08/2021 12:01:19,
011016AE6C,1, 12/08/2021 12:15:31,Feeder10,,, 12/08/2021 12:15:31,
011016AE6C,1, 12/08/2021 12:23:46,Feeder10,,, 12/08/2021 12:23:46,
011016AE6C,1, 12/08/2021 12:43:04,Feeder10,,, 12/08/2021 12:43:04,
011016AE6C,1, 12/08/2021 13:15:48,Feeder10,,, 12/08/2021 13:15:48,
01103FD963,1, 12/08/2021 13:44:46,Feeder10,,, 12/08/2021 13:44:46,
01103FD963,1, 12/08/2021 13:44:48,Feeder10,,, 12/08/2021 13:44:48,
01103FD963,1, 12/08/2021 13:44:50,Feeder10,,, 12/08/2021 13:44:50,
01103FD963,1, 12/08/2021 13:44:52,Feeder10,,, 12/08/2021 13:44:52,
01103FD963,1, 12/08/2021 13:45:45,Feeder10,,, 12/08/2021 13:45:45,
01103FD963,1, 12/08/2021 13:45:47,Feeder10,,, 12/08/2021 13:45:47,
011016AE6C,1, 12/08/2021 13:57:59,Feeder10,,, 12/08/2021 13:57:59,
011016AE6C,1, 12/08/2021 13:58:00,Feeder10,,, 12/08/2021 13:58:00,
011016AE6C,1, 12/08/2021 13:58:10,Feeder10,,, 12/08/2021 13:58:10,
011016AE6C,1, 12/08/2021 13:58:39,Feeder10,,, 12/08/2021 13:58:39,
011016AE6C,1, 12/08/2021 13:59:38,Feeder10,,, 12/08/2021 13:59:38,
01103FD963,1, 12/08/2021 14:00:40,Feeder10,,, 12/08/2021 14:00:40,
011016DD50,1, 12/08/2021 14:06:02,Feeder10,,, 12/08/2021 14:06:02,
01103FD963,1, 12/08/2021 14:11:58,Feeder10,,, 12/08/2021 14:11:58,
01103FD963,1, 12/08/2021 14:12:00,Feeder10,,, 12/08/2021 14:12:00,
011016BDF9,1, 12/08/2021 14:31:14,Feeder10,,, 12/08/2021 14:31:14,
011016AE6C,1, 12/08/2021 14:36:41,Feeder10,,, 12/08/2021 14:36:41,
011016AE6C,1, 12/08/2021 14:36:45,Feeder10,,, 12/08/2021 14:36:45,
011016AE6C,1, 12/08/2021 15:01:15,Feeder10,,, 12/08/2021 15:01:15,
01103FD963,1, 12/08/2021 15:03:41,Feeder10,,, 12/08/2021 15:03:41,
011016BDF9,1, 12/08/2021 15:03:46,Feeder10,,, 12/08/2021 15:03:46,
011016BDF9,1, 12/08/2021 15:04:10,Feeder10,,, 12/08/2021 15:04:10,
011016BDF9,1, 12/08/2021 15:04:43,Feeder10,,, 12/08/2021 15:04:43,
01103FD963,1, 12/08/2021 15:05:08,Feeder10,,, 12/08/2021 15:05:08,
011016AE6C,1, 12/08/2021 15:05:27,Feeder10,,, 12/08/2021 15:05:27,
011016AE6C,1, 12/08/2021 15:05:48,Feeder10,,, 12/08/2021 15:05:48,
011016AE6C,1, 12/08/2021 15:06:00,Feeder10,,, 12/08/2021 15:06:00,
011016BDF9,1, 12/08/2021 15:06:09,Feeder10,,, 12/08/2021 15:06:09,
011016BDF9,1, 12/08/2021 15:07:44,Feeder10,,, 12/08/2021 15:07:44,
011016BDF9,1, 12/08/2021 15:09:18,Feeder10,,, 12/08/2021 15:09:18,
011016BDF9,1, 12/08/2021 15:09:50,Feeder10,,, 12/08/2021 15:09:50,
01103FD963,1, 12/08/2021 16:06:58,Feeder10,,, 12/08/2021 16:06:58,
01103FD963,1, 12/08/2021 16:07:00,Feeder10,,, 12/08/2021 16:07:00,
01103FD963,1, 12/08/2021 16:07:02,Feeder10,,, 12/08/2021 16:07:02,
01103FD963,1, 12/08/2021 16:07:05,Feeder10,,, 12/08/2021 16:07:05,
01103FD963,1, 12/08/2021 16:07:07,Feeder10,,, 12/08/2021 16:07:07,
01103FD963,1, 12/08/2021 16:07:09,Feeder10,,, 12/08/2021 16:07:09,
01103FD963,1, 12/08/2021 16:32:33,Feeder10,,, 12/08/2021 16:32:33,
01103FD963,1, 12/08/2021 16:32:35,Feeder10,,, 12/08/2021 16:32:35,
011016AE6C,1, 12/09/2021 08:42:17,Feeder10,,, 12/09/2021 08:42:17,
011016AE6C,1, 12/09/2021 08:42:19,Feeder10,,, 12/09/2021 08:42:19,
011016AE6C,1, 12/09/2021 08:42:21,Feeder10,,, 12/09/2021 08:42:21,
011016AE6C,1, 12/09/2021 09:01:04,Feeder10,,, 12/09/2021 09:01:04,
011016DD50,1, 12/09/2021 09:13:16,Feeder10,,, 12/09/2021 09:13:16,
01103F8E56,1, 12/09/2021 09:13:41,Feeder10,,, 12/09/2021 09:13:41,
011016DD50,1, 12/09/2021 09:13:48,Feeder10,,, 12/09/2021 09:13:48,
011016AE6C,1, 12/09/2021 09:27:01,Feeder10,,, 12/09/2021 09:27:01,
011016AE6C,1, 12/09/2021 09:27:03,Feeder10,,, 12/09/2021 09:27:03,
011016AE6C,1, 12/09/2021 09:27:37,Feeder10,,, 12/09/2021 09:27:37,
011016AE6C,1, 12/09/2021 09:34:22,Feeder10,,, 12/09/2021 09:34:22,
011016AE6C,1, 12/09/2021 09:42:54,Feeder10,,, 12/09/2021 09:42:54,
011016AE6C,1, 12/09/2021 09:43:22,Feeder10,,, 12/09/2021 09:43:22,
011016AE6C,1, 12/09/2021 09:43:24,Feeder10,,, 12/09/2021 09:43:24,
011016AE6C,1, 12/09/2021 10:18:03,Feeder10,,, 12/09/2021 10:18:03,
011016AE6C,1, 12/09/2021 10:18:05,Feeder10,,, 12/09/2021 10:18:05,
011016AE6C,1, 12/09/2021 10:18:07,Feeder10,,, 12/09/2021 10:18:07,
011016AE6C,1, 12/09/2021 10:20:14,Feeder10,,, 12/09/2021 10:20:14,
