plant,bee,edge
Dentaria_laciniata,Ceratina_calcarata_dupla_strenua,1
Polemonium_reptans,Ceratina_calcarata_dupla_strenua,1
Oxalis_violacea,Ceratina_calcarata_dupla_strenua,1
Hydrophyllum_appendiculatum,Ceratina_calcarata_dupla_strenua,1
Ranunculus_hispidus_var_nitidus,Ceratina_calcarata_dupla_strenua,1
Monarda_bradburiana,Ceratina_calcarata_dupla_strenua,1
Camassia_scilloides,Ceratina_calcarata_dupla_strenua,1
Erythronium_albidum,Ceratina_calcarata_dupla_strenua,1
Maianthemum_stellatum,Ceratina_calcarata_dupla_strenua,1
Tradescantia_virginiana,Ceratina_calcarata_dupla_strenua,1
Viola_sororia,Ceratina_calcarata_dupla_strenua,1
Anemonella_thalictroides,Ceratina_calcarata_dupla_strenua,1
Viola_pubescens,Ceratina_calcarata_dupla_strenua,1
Delphinium_tricorne,Ceratina_calcarata_dupla_strenua,1
Claytonia_virginica,Augochlorella_aurata,1
Erigenia_bulbosa,Augochlorella_aurata,1
Isopyrum_biternatum,Augochlorella_aurata,1
Polemonium_reptans,Augochlorella_aurata,1
Oxalis_violacea,Augochlorella_aurata,1
Hydrophyllum_appendiculatum,Augochlorella_aurata,1
Ranunculus_hispidus_var_nitidus,Augochlorella_aurata,1
Monarda_bradburiana,Augochlorella_aurata,1
Camassia_scilloides,Augochlorella_aurata,1
Sanicula_odorata,Augochlorella_aurata,1
Maianthemum_stellatum,Augochlorella_aurata,1
Anemonella_thalictroides,Augochlorella_aurata,1
Hydrophyllum_virginianum,Augochlorella_aurata,1
Mertensia_virginica,Augochlorella_aurata,1
Viola_pubescens,Augochlorella_aurata,1
Claytonia_virginica,Eucera_dubitata,1
Geranium_maculatum,Eucera_dubitata,1
Isopyrum_biternatum,Eucera_dubitata,1
Dentaria_laciniata,Eucera_dubitata,1
Polemonium_reptans,Eucera_dubitata,1
Hydrophyllum_appendiculatum,Eucera_dubitata,1
Ranunculus_hispidus_var_nitidus,Eucera_dubitata,1
Camassia_scilloides,Eucera_dubitata,1
Erythronium_albidum,Eucera_dubitata,1
Viola_sororia,Eucera_dubitata,1
Hydrophyllum_virginianum,Eucera_dubitata,1
Mertensia_virginica,Eucera_dubitata,1
Viola_pubescens,Eucera_dubitata,1
Dicentra_cucullaria,Eucera_dubitata,1
Claytonia_virginica,Andrena_carlini,1
Erigenia_bulbosa,Andrena_carlini,1
Isopyrum_biternatum,Andrena_carlini,1
Dentaria_laciniata,Andrena_carlini,1
Polemonium_reptans,Andrena_carlini,1
Hydrophyllum_appendiculatum,Andrena_carlini,1
Erythronium_albidum,Andrena_carlini,1
Maianthemum_stellatum,Andrena_carlini,1
Viola_sororia,Andrena_carlini,1
Anemonella_thalictroides,Andrena_carlini,1
Viola_pubescens,Andrena_carlini,1
Dicentra_cucullaria,Andrena_carlini,1
Uvularia_grandiflora,Andrena_carlini,1
Claytonia_virginica,Bombus_vagans,1
Geranium_maculatum,Bombus_vagans,1
Erigenia_bulbosa,Bombus_vagans,1
Polemonium_reptans,Bombus_vagans,1
Hydrophyllum_appendiculatum,Bombus_vagans,1
Tradescantia_virginiana,Bombus_vagans,1
Hydrophyllum_virginianum,Bombus_vagans,1
Mertensia_virginica,Bombus_vagans,1
Dicentra_cucullaria,Bombus_vagans,1
Delphinium_tricorne,Bombus_vagans,1
Phlox_divaricata,Bombus_vagans,1
Claytonia_virginica,Osmia_pumila,1
Geranium_maculatum,Osmia_pumila,1
Erigenia_bulbosa,Osmia_pumila,1
Isopyrum_biternatum,Osmia_pumila,1
Dentaria_laciniata,Osmia_pumila,1
Polemonium_reptans,Osmia_pumila,1
Oxalis_violacea,Osmia_pumila,1
Hydrophyllum_appendiculatum,Osmia_pumila,1
Ranunculus_hispidus_var_nitidus,Osmia_pumila,1
Camassia_scilloides,Osmia_pumila,1
Erythronium_albidum,Osmia_pumila,1
Viola_sororia,Osmia_pumila,1
Anemonella_thalictroides,Osmia_pumila,1
Mertensia_virginica,Osmia_pumila,1
Viola_pubescens,Osmia_pumila,1
Claytonia_virginica,Lasioglossum_versatum,1
Geranium_maculatum,Lasioglossum_versatum,1
Erigenia_bulbosa,Lasioglossum_versatum,1
Isopyrum_biternatum,Lasioglossum_versatum,1
Dentaria_laciniata,Lasioglossum_versatum,1
Polemonium_reptans,Lasioglossum_versatum,1
Oxalis_violacea,Lasioglossum_versatum,1
Hydrophyllum_appendiculatum,Lasioglossum_versatum,1
Monarda_bradburiana,Lasioglossum_versatum,1
Camassia_scilloides,Lasioglossum_versatum,1
Erythronium_albidum,Lasioglossum_versatum,1
Tradescantia_virginiana,Lasioglossum_versatum,1
Anemonella_thalictroides,Lasioglossum_versatum,1
Mertensia_virginica,Lasioglossum_versatum,1
